Time,Ask,Bid,AskVolume,BidVolume
22.04.2013 10:37:25.716,1.02751,1.02738,3.00,2.25
22.04.2013 10:37:26.987,1.02751,1.02739,1.50,2.25
22.04.2013 10:37:27.526,1.02753,1.02741,2.78,2.25
22.04.2013 10:37:28.066,1.02754,1.02740,2.78,3.00
22.04.2013 10:37:28.428,1.02754,1.02742,2.03,1.50
22.04.2013 10:37:28.978,1.02754,1.02741,3.30,3.00
22.04.2013 10:37:29.517,1.02754,1.02741,2.03,3.00
22.04.2013 10:37:32.438,1.02759,1.02746,1.95,1.50
22.04.2013 10:37:32.992,1.02761,1.02747,2.25,1.50
22.04.2013 10:37:33.718,1.02760,1.02747,2.25,2.25
22.04.2013 10:37:34.835,1.02760,1.02745,2.25,2.85
22.04.2013 10:37:34.896,1.02759,1.02745,2.40,1.20
22.04.2013 10:37:35.446,1.02757,1.02743,1.13,2.25
22.04.2013 10:37:35.839,1.02757,1.02745,1.13,1.50
22.04.2013 10:37:36.147,1.02760,1.02748,1.13,1.50
22.04.2013 10:37:36.266,1.02761,1.02748,1.88,1.50
22.04.2013 10:37:36.627,1.02759,1.02746,1.65,1.50
22.04.2013 10:37:36.811,1.02758,1.02745,1.65,3.00
22.04.2013 10:37:37.356,1.02757,1.02744,1.50,1.50
22.04.2013 10:37:37.416,1.02757,1.02745,2.25,1.50
22.04.2013 10:37:37.957,1.02757,1.02746,1.65,1.50
22.04.2013 10:37:38.496,1.02757,1.02744,1.65,1.88
22.04.2013 10:37:38.676,1.02757,1.02744,1.65,1.88
22.04.2013 10:37:39.216,1.02757,1.02744,1.65,2.63
22.04.2013 10:37:40.839,1.02757,1.02745,1.65,1.50
22.04.2013 10:37:41.554,1.02754,1.02745,3.53,1.50
22.04.2013 10:37:41.637,1.02752,1.02738,2.03,3.15
22.04.2013 10:37:42.059,1.02752,1.02738,2.03,2.40
22.04.2013 10:37:42.607,1.02751,1.02738,2.25,2.25
22.04.2013 10:37:42.847,1.02756,1.02742,3.38,2.40
22.04.2013 10:37:43.388,1.02758,1.02742,2.78,3.15
22.04.2013 10:37:43.928,1.02758,1.02744,3.53,1.50
22.04.2013 10:37:44.137,1.02758,1.02747,3.53,1.50
22.04.2013 10:37:44.376,1.02760,1.02747,1.50,2.25
22.04.2013 10:37:44.917,1.02760,1.02747,2.25,1.50
22.04.2013 10:37:45.896,1.02760,1.02747,2.25,2.63
22.04.2013 10:37:46.017,1.02760,1.02749,2.25,1.50
22.04.2013 10:37:46.257,1.02764,1.02752,2.40,2.25
22.04.2013 10:37:46.682,1.02766,1.02754,2.63,1.65
22.04.2013 10:37:47.294,1.02766,1.02756,2.25,1.50
22.04.2013 10:37:47.362,1.02770,1.02757,3.00,2.25
22.04.2013 10:37:48.346,1.02769,1.02757,1.50,2.25
22.04.2013 10:37:48.928,1.02769,1.02758,1.50,1.50
22.04.2013 10:37:51.153,1.02769,1.02757,2.25,3.00
22.04.2013 10:37:51.287,1.02763,1.02756,1.50,1.13
22.04.2013 10:37:51.466,1.02763,1.02751,1.50,3.75
22.04.2013 10:37:52.047,1.02763,1.02751,1.65,5.25
22.04.2013 10:37:52.646,1.02763,1.02751,1.65,3.00
22.04.2013 10:37:53.186,1.02763,1.02751,1.65,1.50
22.04.2013 10:37:53.706,1.02763,1.02751,1.65,1.50
22.04.2013 10:37:54.816,1.02763,1.02752,1.65,1.50
